,Underlying,Ticker,Type,Expiration,YTE,DTE,Strike,Last,Bid,Ask,Midpoint,Spread,IV,NPV,Delta,Gamma,Theta,AKA
0,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,40.0,32.0,32.75,33.95,33.35,1.2000000000000028,1.0000000000000003e-05,45.750273971660015,1.0000000057701663,-0.008215464874620052,-1.0958830219493907e-05,DELL210416C00040000
1,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,45.0,37.79,39.2,43.0,41.1,3.799999999999997,1.396487392578125,41.100704523857296,0.9742411213665517,0.0019129935620318538,-0.036801608813637664,DELL210416C00045000
2,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,50.0,29.69,33.7,38.0,35.85,4.299999999999997,0.9687503125,35.84946384169469,0.9879231886417349,0.0014457062367150327,-0.013201800632952362,DELL210416C00050000
3,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,52.5,32.5,32.1,34.3,33.2,2.1999999999999957,1.4111357568359377,34.299648785267294,0.9348902353985536,0.004009645967384331,-0.07983119257262543,DELL210416C00052500
4,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,55.0,26.8,29.45,32.6,31.025,3.150000000000002,0.965820654296875,31.024887559951406,0.9701844407461657,0.003124069782653798,-0.02875454193394528,DELL210416C00055000
5,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,57.5,25.97,26.8,30.2,28.5,3.3999999999999986,0.867188828125,28.500219903818557,0.9695739798346145,0.003538268160375718,-0.026252344568379903,DELL210416C00057500
6,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,60.0,29.27,24.85,26.4,25.625,1.5499999999999972,0.9682620361328125,26.400019816077414,0.937726953690419,0.005644434448946762,-0.05278820089445676,DELL210416C00060000
7,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,62.5,26.0,22.3,24.1,23.200000000000003,1.8000000000000007,0.9423833886718749,24.09946833104049,0.9201005485252393,0.007023515935773043,-0.0624341804434023,DELL210416C00062500
8,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,65.0,23.7,20.4,21.0,20.7,0.6000000000000014,0.637698935546875,21.000925351127208,0.9593862854732458,0.0060973259261631624,-0.024550369297387686,DELL210416C00065000
9,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,67.5,21.28,17.6,18.55,18.075000000000003,0.9499999999999993,0.586918193359375,18.54960802325414,0.9489626672666933,0.007960368209284927,-0.027238626308940875,DELL210416C00067500
10,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,70.0,15.3,15.65,15.95,15.8,0.29999999999999893,0.471684970703125,15.950514468990642,0.9559793872964665,0.008798268134260738,-0.019395993682325592,DELL210416C00070000
11,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,72.5,13.5,12.85,13.5,13.175,0.6500000000000004,0.4243221630859375,13.500237044569824,0.9414564452174169,0.012272036538011014,-0.02198412840084106,DELL210416C00072500
12,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,75.0,10.0,10.65,11.15,10.9,0.5,0.40039662109375,11.150762984557073,0.9083671272629041,0.018316107445239812,-0.029402457068581897,DELL210416C00075000
13,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,77.5,12.24,8.3,8.65,8.475000000000001,0.34999999999999964,0.32569033691406246,8.650786534571417,0.8905609642041526,0.02563328595014961,-0.027289701180965516,DELL210416C00077500
14,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,80.0,6.0,6.15,6.4,6.275,0.25,0.29614961669921874,6.400178322919487,0.8249511817738265,0.03879370395169337,-0.03435362239845599,DELL210416C00080000
15,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,82.5,6.33,4.15,4.4,4.275,0.25,0.2775951147460937,4.399727159113752,0.715073325378836,0.05449094528401036,-0.0426156223920688,DELL210416C00082500
16,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,85.0,2.65,2.33,2.89,2.6100000000000003,0.56,0.280158565673828,2.8899416372673783,0.5622104967401851,0.06267998292989645,-0.050060544024642314,DELL210416C00085000
17,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,87.5,1.54,1.21,1.65,1.43,0.43999999999999995,0.26807372558593745,1.6490510835381074,0.4002202116964333,0.0642281625210159,-0.0469314104595004,DELL210416C00087500
18,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,90.0,0.8,0.77,0.95,0.86,0.17999999999999994,0.27539787109374997,0.9494969702938442,0.26270745125022427,0.05276295369354814,-0.040535178501354796,DELL210416C00090000
19,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,92.5,0.41,0.39,0.62,0.505,0.22999999999999998,0.2995675512695312,0.6196370040220047,0.1769134237102843,0.038608427751160634,-0.03492216057000496,DELL210416C00092500
20,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,95.0,0.25,0.25,0.35,0.3,0.09999999999999998,0.30762411132812495,0.3505760890977022,0.10896033218870957,0.027052229704847608,-0.025623737463108295,DELL210416C00095000
21,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,97.5,0.21,0.13,0.23,0.18,0.1,0.327155166015625,0.22941498512511438,0.07256599173888453,0.018800348537272055,-0.020012061571167333,DELL210416C00097500
22,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,100.0,0.08,0.08,0.12,0.1,0.039999999999999994,0.33008482421874996,0.12013562497890123,0.041253296728960304,0.011928091615752473,-0.012805799702799875,DELL210416C00100000
23,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,105.0,0.09,0.0,0.19,0.095,0.19,0.44824770507812495,0.19062478699577431,0.047691229206922446,0.009872520189705244,-0.01958246216734626,DELL210416C00105000
24,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,110.0,0.1,0.0,0.15,0.075,0.15,0.50586431640625,0.14902363987189685,0.03477072703332184,0.0067696995198473775,-0.017006071382001258,DELL210416C00110000
25,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,115.0,0.1,0.0,0.17,0.085,0.17,0.5293015820312501,0.0843319686406109,0.020210574900266735,0.004112459010042329,-0.011202555803072911,DELL210416C00115000
26,85.75,DELL,Call,2021-04-17,0.06575342465753424,24,120.0,0.08,0.0,3.9,1.95,3.9,1.138676181640625,1.9490486153361435,0.16387478164770372,0.009671192299775358,-0.12597018734648452,DELL210416C00120000
27,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,75.0,13.3,11.1,11.45,11.274999999999999,0.34999999999999964,0.30445031494140623,11.449693374705404,0.8743161619745757,0.0195232447673133,-0.018231325719985755,DELL210521C00075000
28,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,80.0,8.88,7.1,7.4,7.25,0.3000000000000007,0.28833719482421866,7.399359821991757,0.7429083979572468,0.032169801391993186,-0.027027839031627348,DELL210521C00080000
29,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,82.5,9.31,5.4,5.7,5.550000000000001,0.2999999999999998,0.2836985693359374,5.69941169132387,0.6530539126704976,0.037433306700446575,-0.03047313511877307,DELL210521C00082500
30,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,90.0,2.14,1.88,2.21,2.045,0.33000000000000007,0.280158565673828,2.2104814629722194,0.3560922586035484,0.038264071371804015,-0.030362146468618883,DELL210521C00090000
31,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,92.5,2.11,1.25,1.61,1.4300000000000002,0.3600000000000001,0.2873606420898437,1.6100874166907653,0.276937663757364,0.03351421958044336,-0.0279487575256931,DELL210521C00092500
32,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,95.0,0.75,0.78,1.1,0.9400000000000001,0.32000000000000006,0.28784891845703114,1.1008287304931246,0.20631615051680174,0.02849934761742196,-0.02381226347441114,DELL210521C00095000
33,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,97.5,0.72,0.41,0.66,0.535,0.25000000000000006,0.2788158056640625,0.6597371278673594,0.14022275129551554,0.02298640896368622,-0.017980070066607668,DELL210521C00097500
34,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,100.0,0.4,0.28,0.57,0.425,0.2899999999999999,0.30249720947265624,0.5697727993444685,0.1166248393540032,0.01864134331378886,-0.017143019714503476,DELL210521C00100000
35,85.75,DELL,Call,2021-05-22,0.16164383561643836,59,115.0,0.22,0.01,0.21,0.11,0.19999999999999998,0.39551385742187506,0.2101177695220051,0.04006132453441666,0.006274683803343589,-0.00979145297733024,DELL210521C00115000
36,85.75,DELL,Call,2021-07-17,0.3150684931506849,115,30.0,43.0,46.55,47.95,47.25,1.4000000000000057,1.0000000000000003e-05,55.75095340951067,0.9999999995367432,-0.00010611191213595981,-8.218917960129139e-06,DELL210716C00030000
37,85.75,DELL,Call,2021-07-17,0.3150684931506849,115,40.0,39.95,43.1,48.0,45.55,4.899999999999999,1.164310819091797,48.00089231864023,0.9319043063112064,0.002335883743220931,-0.031888270796105074,DELL210716C00040000
38,85.75,DELL,Call,2021-07-17,0.3150684931506849,115,42.5,26.95,25.8,27.65,26.725,1.8499999999999979,1.0000000000000003e-05,43.25135066347134,1.0000000007745138,-0.0007571775153641104,-1.1643467126929745e-05,DELL210716C00042500
39,85.75,DELL,Call,2021-07-17,0.3150684931506849,115,45.0,28.97,28.95,32.2,30.575000000000003,3.2500000000000036,1.0000000000000003e-05,40.751430114263435,0.9999999980721759,-6.133048198187486e-05,-1.2328376940193706e-05,DELL210716C00045000
40,85.75,DELL,Call,2021-07-17,0.3150684931506849,115,47.5,24.92,25.25,27.3,26.275,2.0500000000000007,1.0000000000000003e-05,38.25150956505558,0.9999999981376589,-5.5014674964469636e-05,-1.3013286789343666e-05,DELL210716C00047500
41,85.75,DELL,Call,2021-07-17,0.3150684931506849,115,50.0,34.75,34.95,36.5,35.725,1.5499999999999972,0.6518589501953126,36.50112477466268,0.9507117568249417,0.003236366171529367,-0.013831016584949415,DELL210716C00050000
42,85.75,DELL,Call,2021-07-17,0.3150684931506849,115,52.5,22.14,25.0,25.5,25.25,0.5,1.0000000000000003e-05,33.25166846663986,0.999999998786537,-0.0004877252106745268,-1.438310645175759e-05,DELL210716C00052500
